user_input,icon_label,category,confidence_score,source
go trip,ic_car,travel,0.9,keyword_variation
project call,ic_briefcase_line,work,0.8,template_generated
presentation,ic_briefcase_line,work,1.0,direct_keyword
go writing,ic_briefcase_line,work,0.9,keyword_variation
afternoon course,ic_note,learning,0.7,contextual
employment review,ic_briefcase_line,work,0.8,template_generated
legal session,ic_briefcase_line,work,0.9,keyword_variation
morning therapy,ic_health,health,0.7,contextual
takeout eat,ic_utensils_line,food,0.8,template_generated
book materials,ic_note,learning,0.8,template_generated
evening play,ic_tv,entertainment,0.8,template_generated
daily career,ic_briefcase_line,work,0.8,template_generated
basketball session,ic_run,exercise,0.9,keyword_variation
afternoon medicine,ic_health,health,0.7,contextual
morning run,ic_run,exercise,0.8,template_generated
urgent therapy,ic_health,health,0.8,template_generated
go pharmacy,ic_health,health,0.9,keyword_variation
travel adventure,ic_car,travel,0.8,template_generated
job session,ic_briefcase_line,work,0.9,keyword_variation
30 minute career,ic_briefcase_line,work,0.7,contextual
seminar session,ic_note,learning,0.9,keyword_variation
30 minute checkup,ic_health,health,0.7,contextual
go sandwich,ic_utensils_line,food,0.9,keyword_variation
favorite leisure,ic_tv,entertainment,0.8,template_generated
go jpice,ic_utensils_line,food,0.81,keyword_variation_typo
15 minute bus,ic_car,travel,0.7,contextual
homemade dinner,ic_utensils_line,food,0.8,template_generated
oficina,ic_briefcase_line,work,0.9,multilingual_spanish
go talk,ic_people,social,0.9,keyword_variation
15 minute walk,ic_run,exercise,0.8,template_generated
go cooking,ic_utensils_line,food,0.9,keyword_variation
much needed dream,ic_moon_line,sleep,0.8,template_generated
rice,ic_utensils_line,food,1.0,direct_keyword
weights session,ic_run,exercise,0.9,keyword_variation
social gathering,ic_people,social,0.8,template_generated
conversation sessikn,ic_people,social,0.81,keyword_variation_typo
enjoying movie,ic_tv,entertainment,0.8,template_generated
road,ic_car,travel,1.0,direct_keyword
evening snack,ic_utensils_line,food,0.7,contextual
review,ic_briefcase_line,work,1.0,direct_keyword
quiet session,ic_moon_line,sleep,0.9,keyword_variation
late night health,ic_health,health,0.7,contextual
evening dinner,ic_utensils_line,food,0.7,contextual
netflix session,ic_tv,entertainment,0.9,keyword_variation
1 hour breakfast,ic_utensils_line,food,0.7,contextual
checkup session,ic_health,health,0.9,keyword_variation
bedroom,ic_moon_line,sleep,1.0,direct_keyword
